listing_id,address,mls_drone_or_aerial_status,best_photo_indices,marketing_candidate_strength,has_backyard_photos,hot_tub_or_pool_visible,reuse_rights,notes,reason
10667320,1018 SWANSEA Road,yes,"1,4,5,7,8,9,10,11",high,yes,not_reviewed_for_this_goal,unknown_research_only,"Goal review: multiple aerial/top-down/oblique views show house with driveway, patio, surrounding yard/lot and site context. Strong match for house plus backyard/lot together.",
20066310,1170 Mcdonald Avenue,yes,"6,5,3,4",high,yes,not_reviewed_for_this_goal,unknown_research_only,Goal review: photo 6 appears to be a close top-down/overhead lot view showing house and yard layout; photo 5 gives broader aerial neighborhood context. Photos 3-4 add ground/elevated exterior lot context.,
20027125,1282 23RD S Street,yes,1,high,yes,not_reviewed_for_this_goal,unknown_research_only,Goal review: photo 1 is an elevated oblique aerial showing the house with surrounding yard/lot context; strong candidate for the stated goal.,
20021647,13-640 UPPER LAKEVIEW Road,yes,"6,3",medium,yes,not_reviewed_for_this_goal,unknown_research_only,Goal review: photos 6 and 3 are elevated/drone-like and show the house with surrounding lot context; backyard/lot coverage is decent but not fully top-down.,
20060624,1302 11th Avenue,yes,"30,29,24",high,yes,not_reviewed_for_this_goal,unknown_research_only,Goal review: photo 30 is top-down lot/house view with outline; photo 29 is elevated oblique showing house and fenced yard. Photo 24 is useful rear-yard ground support.,
20049552,1325 12 Avenue,yes,"11,12,19,20",medium,yes,not_reviewed_for_this_goal,unknown_research_only,"Goal review: no true drone/top-down visible, but elevated/yard-view photos show house portions, backyard/lot, and surrounding setting together.",
10682383,14 MT TRINITY Avenue,yes,"2,1,30",medium,yes,not_reviewed_for_this_goal,unknown_research_only,Goal review: photo 2 is the strongest elevated/oblique view showing roof/house and surrounding yard/lot context; photo 1 also shows front/lot context. Photo 30 shows backyard ground-level detail but not aerial.,
10647009,1502 PINERIDGE MOUNTAIN Place,yes,"3,4,9,10,12,13",medium,yes,not_reviewed_for_this_goal,unknown_research_only,"Goal review: good elevated/ground exterior views of rear facade, lawn, and surrounding treed lot; no true top-down aerial.",
10671641,16 MT MINTON Street,yes,"1,8,4,2,3",high,yes,not_reviewed_for_this_goal,unknown_research_only,Goal review: photo 1 is the clearest elevated/aerial-style view showing houses and surrounding lots; likely useful for house-plus-yard context. Photo 8 gives elevated deck/backyard perspective; photo 4 adds yard coverage.,
10669905,1609 8TH S Avenue,yes,"8,7,5",medium,yes,not_reviewed_for_this_goal,unknown_research_only,"Goal review: photo 8 is an elevated/aerial oblique showing house, yard/lot, and neighboring context. Other exterior shots are ground-level.",
10684522,1611 1ST S Avenue,yes,"1,2,21,3",high,yes,unclear,unknown_research_only,"Clear elevated/drone-style exterior images show the house with surrounding lot and landscape context; photos 21 and 1 are strongest house-plus-lot aerial/elevated candidates, with photo 3 providing broader area context.",
20062684,1629 Staple Crescent,yes,"5,2,3,1,4,6",high,yes,not_reviewed_for_this_goal,unknown_research_only,"Goal review: multiple strong aerial/oblique views showing house, yard, lot edges, and neighborhood context; photo 5 appears most top-down.",
10675733,1732 20TH S Avenue,yes,"1,2,3,4,5,6,7,9",high,yes,no,unknown_research_only,"Good outdoor set with lawn, deck, exterior, RV/yard context, and clear aerial/drone parcel views.",
10677481,18 ELKVIEW Crescent,yes,"6,7,3,2,5,1",high,yes,not_reviewed_for_this_goal,unknown_research_only,Goal review: strong aerial/elevated coverage. Photos 6-7 best show house footprint with yard/lot; photos 3 and 5 add top-down neighborhood/lot context; photos 1-2 show elevated house-and-yard views.,
20068527,1908 12th Street S,yes,"3,2",high,yes,not_reviewed_for_this_goal,unknown_research_only,Goal review: photo 3 gives elevated/top-down view of rear yard with house; photo 2 shows house/lot from above. Photos 4-5 are broader neighborhood aerial context.,
10681344,2 RIDGEMONT Avenue,yes,"3,2,1",high,yes,not_reviewed_for_this_goal,unknown_research_only,"Goal review: photo 3 is a clear elevated/top-down aerial-style view showing the house, driveway, and surrounding lot/backyard context. Photos 1-2 provide supporting exterior context.",
10654287,21 MT MINTON Street,yes,"29,30,28,1",medium,yes,not_reviewed_for_this_goal,unknown_research_only,Goal review: photos 28-30 are elevated deck/backyard/lot views; they show usable rear-lot context though not a full overhead house+yard aerial.,
20035684,222 Boulder Creek,yes,"3,8,9,4,5",high,yes,not_reviewed_for_this_goal,unknown_research_only,"Goal review: multiple drone/elevated snow views show building roofs, surrounding lots, and complex context. Best set for house plus lot/backyard relationship.",
20049485,224 Lindsay Street,yes,3,high,yes,not_reviewed_for_this_goal,unknown_research_only,"Goal review: photo 3 is a clear elevated/top-down aerial showing house, yard/lot, and neighboring context.",
20084357,233 Boulder Creek,yes,"4,30,29,2",high,yes,not_reviewed_for_this_goal,unknown_research_only,"Goal review: strong elevated/drone-style images show house/yard/lot context; photos 4 and 30 appear best for backyard/lot with house, photo 29 gives broader aerial context.",
10680589,2510 COBBLESTONE Trail,yes,"1,2,3,4,8,9",high,yes,no,unknown_research_only,Strong winter exterior plus elevated/drone-style views of home/setting and nearby landscape.,
10684446,2543 LEDGEROCK Ridge,yes,"1,3,26,27,29,30",high,yes,no,unknown_research_only,"Exterior, patio, and scenic mountain/view shots; photo 3 appears to be elevated drone/aerial-style.",
20072535,2904 Edgewood Drive,yes,"3,1,5,4",high,yes,not_reviewed_for_this_goal,unknown_research_only,"Goal review: strong aerial set; photo 3 is best top-down roof/yard/lot view, with oblique house+lot and neighborhood context in photos 1, 4, 5.",
20042910,307 LEGACY LOOKOUT,yes,"2,1",high,yes,not_reviewed_for_this_goal,unknown_research_only,Goal review: photo 2 is the strongest top-down lot/house view; photo 1 provides elevated front/lot context; photo 3 is elevated scenic/context but less useful for backyard/lot.,
20048728,313 17TH Street S,yes,"2,3",high,yes,not_reviewed_for_this_goal,unknown_research_only,Goal review: photo 2 is a top-down drone-style view showing house/roof and lot relationship; photo 3 gives elevated neighborhood/lot context.,
10673047,4576 COLUMERE Road,yes,"1,2,3,4,5,6,7,9,10",high,yes,yes,unknown_research_only,Strong exterior/yard/deck set with lake/mountain aerial-style context; hot tub visible on deck/patio. Needs human verification before relying on it.,
20046407,4824 MCKAY Street,yes,"5,3,4",high,yes,not_reviewed_for_this_goal,unknown_research_only,Goal review: photo 5 is a strong vertical/top-down aerial of house and lot; photos 3-4 add rear/yard ground context. Photos 6-8 are broader scenic/context aerials.,
10665854,4874 RIDGE Crescent,yes,"6,4,5",high,yes,not_reviewed_for_this_goal,unknown_research_only,"Goal review: strong drone/elevated coverage. Photo 6 is best top-down/near-overhead showing house, patio/backyard and treed lot context; photo 4 also shows house/yard; photo 5 gives wider setting.",
20059692,4891 Glen Eagle Drive,yes,"1,4,5,23",high,yes,no,unknown_research_only,Clear drone/aerial mountain/neighborhood view plus patio/covered outdoor sitting area.,
10676258,49 MT PROCTOR Avenue,yes,"3,2,1,30",high,yes,not_reviewed_for_this_goal,unknown_research_only,Goal review: photo 3 is a top-down/aerial view showing house/roof and surrounding lot context. Photos 1/2 show house with lawn from ground level; photo 30 gives yard/neighborhood context from an elevated deck/porch angle.,
20026072,4992 MOUNTAIN VIEW Drive,yes,"1,17,18,19",high,yes,no,unknown_research_only,Aerial/property overview plus deck/patio outdoor living views; no clear pool or hot tub.,
10683660,5138 RIVERVIEW Crescent,yes,"27,29,1,2",high,yes,not_reviewed_for_this_goal,unknown_research_only,Goal review: photos 27 and 29 are the strongest elevated/yard-context views with rear/side house plus landscaped lot/backyard visible. Photos 1-2 add front exterior context but are not aerial.,
20061096,5221 Columbia River Road,yes,"1,20,21",medium,yes,not_reviewed_for_this_goal,unknown_research_only,"Goal review: photo 1 is a useful aerial/overhead view of house within wooded lot, though partially obscured by trees; deck/yard views add context.",
10665467,661 3RD Avenue,yes,"3,4,5,6,7",high,yes,not_reviewed_for_this_goal,unknown_research_only,"Goal review: strong backyard/lot coverage; photo 7 is top-down/elevated yard view, with multiple ground views showing house/yard context.",
20066454,6740 Rosen Lake Road,yes,"3,1,26,27,2",medium,yes,not_reviewed_for_this_goal,unknown_research_only,Goal review: several elevated/exterior views show the house/deck with surrounding wooded lot. Photos 3 and 1 best combine structure with lot context; photos 26/27 add elevated deck/yard/setting views.,
10647683,6949 COLUMBIA RIDGE Drive,yes,"1,3,12,13,8,10",medium,yes,not_reviewed_for_this_goal,unknown_research_only,"Goal review: no true aerial, but several elevated/ground exterior views show house with broad yard/lot and surrounding landscape; photos 1 and 3 are strongest house-plus-lot views.",
20021336,781 WESTRIDGE Drive,yes,"11,1,2",medium,yes,not_reviewed_for_this_goal,unknown_research_only,Goal review: photo 11 is the clearest top-down/aerial-like view showing roof/lot context; photos 1-2 are elevated oblique exterior views with some surrounding lot but limited backyard detail.,
20020418,782 4TH Avenue,yes,"10,6,7,4,5",high,yes,not_reviewed_for_this_goal,unknown_research_only,"Goal review: strong aerial neighborhood/property context, especially photo 10 with apparent lot/property framing. Photos 4 and 5 show house and fenced backyard area.",
10672776,804 17TH S Street,yes,"1,2,4,5,7,8,9,15,16,19,20,21,22,24,25",high,yes,no,unknown_research_only,Very strong backyard/landscaping set with overhead aerial/drone angles and many lawn/garden/view shots; no visible pool/hot tub.,
10670913,8042 MCINTOSH LOOP Road,yes,"4,5,14,16",medium,yes,not_reviewed_for_this_goal,unknown_research_only,Goal review: photo 4 appears to be an aerial/top-down view showing house/drive and surrounding wooded lot. Yard/garden ground shots add backyard context.,
20036703,805 31ST Avenue S,yes,"2,24,17",high,yes,not_reviewed_for_this_goal,unknown_research_only,Goal review: photo 2 appears to be an elevated/aerial oblique showing house with treed lot/backyard context; photo 24 shows elevated backyard/house relationship; photo 17 supports deck/backyard context.,
10646987,815 LAKEVIEW MEADOWS GREEN,yes,"4,5,20",medium,yes,not_reviewed_for_this_goal,unknown_research_only,Goal review: rear/elevated exterior and yard/deck views show house with landscaped backyard area; no top-down aerial.,
10654610,850 LAKEVIEW MEADOWS Road,yes,"3,4,1,2",medium,yes,not_reviewed_for_this_goal,unknown_research_only,"Goal review: no true top-down aerial visible, but photos 3 and 4 show rear/exterior with yard/trees and house together; photos 1/2 are useful front/lot context.",
10668743,921 11TH Avenue,yes,"4,24,25,26,27",medium,yes,not_reviewed_for_this_goal,unknown_research_only,"Goal review: photo 4 is an elevated/aerial neighborhood/property view with roof/lot context, though subject/backyard detail is somewhat partial. Deck/yard shots add ground-level context.",
20039625,941 5th Avenue,yes,29,high,yes,not_reviewed_for_this_goal,unknown_research_only,Goal review: photo 29 is a useful top-down aerial showing house/roof and lot context; photo 30 provides broader elevated neighborhood/mountain context.,
10665224,946 RIDGE Place,yes,"3,12,2",high,yes,not_reviewed_for_this_goal,unknown_research_only,Goal review: strong aerial/elevated coverage. Photo 3 is top-down/near-top-down lot view; photo 12 is oblique elevated view showing house within treed lot; photo 2 gives broader elevated context with property marker.,
20042244,954 313th Drive,yes,"28,29,25",medium,yes,not_reviewed_for_this_goal,unknown_research_only,"Goal review: no true top-down aerial visible, but photos 28/29 are elevated exterior views showing house, deck, yard/lot context; photo 25 shows rear deck/house from elevated angle; photo 30 gives broader surrounding lot/neighborhood context.",
20050440,959 COPPER POINT Way,yes,"7,6,3,5",medium,yes,not_reviewed_for_this_goal,unknown_research_only,Goal review: photos 6-7 provide top-down backyard/lot details but only partial house context; photo 3 is elevated front/setting view. Photo 5 supports rear/yard relationship from ground level.,
20038863,960 COPPER POINT Way,yes,"7,6,3,5,1",high,yes,no,unknown_research_only,Clear true aerial/drone neighborhood and mountain views; exterior/front outdoor shots also present.,
10658844,1059 SWANSEA Road,unclear,"1,2,17,16",medium,yes,not_reviewed_for_this_goal,unknown_research_only,"Goal review: no true aerial; photo 17 is elevated balcony/view over lot/scenery, while photos 1/2 provide ground-level house and surrounding lot context.",
20026178,137 12A Avenue,unclear,"5,1,7,8,29,30",medium,yes,not_reviewed_for_this_goal,unknown_research_only,"Goal review: photo 5 is an aerial neighborhood/locator view, but thumbnail detail is insufficient to confirm house plus backyard/lot coverage. Photo 1 is a strong ground-level house-and-yard view; 7-8 and 29-30 add lot/backyard context but are not aerial.",
10683127,1400 17TH S Street,unclear,"1,2,3,4,5,6",medium,yes,no,unknown_research_only,Exterior and covered patio/front approach photos; photo 3 is elevated/neighborhood view but drone status unclear.,
10654223,145 STEMWINDER Drive,unclear,"1,2,3,4",low,yes,not_reviewed_for_this_goal,unknown_research_only,"Goal review: no aerial/top-down or clear backyard-wide view; early exterior shots show house on sloped lot and some surrounding terrain, but lot/backyard coverage is limited.",
10676060,1825 TAYNTON Road,unclear,"1,4,5,3,2",medium,yes,not_reviewed_for_this_goal,unknown_research_only,Goal review: photo 1 appears elevated/aerial but the specific house/lot is not clearly identifiable in the thumbnail. Photos 4/5 are best ground-level exterior views showing house with treed lot context.,
20022971,200 BOULDER Creek,unclear,"19,20,18,1",low,yes,not_reviewed_for_this_goal,unknown_research_only,Goal review: no true aerial/top-down visible. Deck/elevated backyard-view shots show lot/view and partial rear/deck context; photo 1 is front exterior only.,
20034035,2202 Black Hawk Drive,unclear,1,low,yes,not_reviewed_for_this_goal,unknown_research_only,"Goal review: photo 1 is an elevated exterior/oblique view showing the house and some surrounding lot/driveway, but backyard coverage is limited or unclear; no true aerial/top-down backyard image visible.",
10650499,402 WESTRIDGE View,unclear,"2,20,22,26",low,yes,not_reviewed_for_this_goal,unknown_research_only,Goal review: ground/elevated exterior and patio/yard views; no clear top-down aerial showing house and backyard/lot together.,
20027834,405 FOREST CROWNE Close,unclear,"3,1,2,4,5",medium,yes,not_reviewed_for_this_goal,unknown_research_only,"Goal review: one broad overhead/neighborhood image may show lot context but not clearly the house/backyard together. Exterior/yard shots help, but aerial goal coverage is limited.",
10682429,4476 COLUMBIA VIEW Road,unclear,"7,2,3,8,12",medium,yes,not_reviewed_for_this_goal,unknown_research_only,Goal review: photo 7 is an elevated/aerial-style neighborhood/waterfront context image but the subject house/backyard is not clearly identifiable. Best property lot context is mostly ground-level exterior/yard shots.,
20073637,454 Forest Crowne Rise,unclear,"2,23,27,30",low,yes,not_reviewed_for_this_goal,unknown_research_only,"Goal review: several elevated exterior/deck/lot-view candidates; house and lot context visible, but backyard-together coverage is incomplete and no true aerial.",
20021525,4585 COLUMERE Road,unclear,"2,4,5,7,25",medium,yes,not_reviewed_for_this_goal,unknown_research_only,Goal review: no true aerial. Several ground-level rear/yard views show house with backyard/deck; photo 25 appears elevated from deck/balcony over yard but does not clearly show whole house and lot together.,
10660433,4942 MOUNTAIN HILL Road,unclear,"1,4,5,3",medium,yes,not_reviewed_for_this_goal,unknown_research_only,"Goal review: photo 3 is elevated deck/view and photo 2 may be elevated/driveway view, but house+backyard together is mainly ground-level exterior/landscape context.",
10685008,700 22ND S Avenue,unclear,"2,11,10,30",low,yes,not_reviewed_for_this_goal,unknown_research_only,"Goal review: photo 2 is elevated/neighborhood view but subject house/backyard not clearly identifiable. Other elevated/yard views show lot/outlook, not house and backyard together clearly.",
10638399,7549 SPRINGS Terrace,unclear,"1,2,5,6,24",low,yes,not_reviewed_for_this_goal,unknown_research_only,"Goal review: no top-down aerial; photos 1/2/24 show exterior and lot frontage, while photos 5/6 show rear/patio outlook, but house and backyard together are not well captured.",
20020530,805 16TH S Street,unclear,"1,2",low,yes,not_reviewed_for_this_goal,unknown_research_only,Goal review: only front/driveway elevated exterior views; limited or no clear backyard visibility. Useful mainly for house and front lot context.,
10639146,823 LAKEVIEW MEADOWS GREEN,unclear,"1,12",low,yes,not_reviewed_for_this_goal,unknown_research_only,"Goal review: exterior/yard views show landscaping and some lot context, but no clear aerial/top-down and limited house+backyard combined coverage.",
10666129,862 10TH Avenue,unclear,"5,4,6,1,2",medium,yes,not_reviewed_for_this_goal,unknown_research_only,"Goal review: no true aerial; photos 4/6 are deck/elevated yard views, while photo 5 shows rear/side of house with yard from ground level.",
