listing_id,address,source_label,recommended_source,latitude,longitude,coordinate_confidence,notes,nominatim_query,nominatim_lat,nominatim_lon,nominatim_type,display_name
10672843,150 SULLIVAN Drive,Cranbrook/Kimberley,blocked_arcgis_no_imagery,49.69758735,-115.99289312,listing,"Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: no aerial/top-down/elevated backyard coverage visible. Only exterior candidate is front/driveway photo 1; backyard/lot not meaningfully shown.; Crosshair appears on a rocky/cleared area with no clear house at the coordinate; surrounding lots/roads visible at z19/z18 but not a useful house + backyard view. Google quality is adequate, likely comparable to typical Mapbox/Bing, but subject visibility is poor.","150 SULLIVAN Drive, British Columbia, Canada",49.1062342,-122.8047212,post_box,"Canada Post, Edmund Drive, Sullivan, Newton, Surrey, Metro Vancouver Regional District, British Columbia, V3S 9A0, Canada"
10672111,2577 SANDSTONE Circle,Columbia Valley,blocked_arcgis_no_imagery,50.47894678,-116.04174217,listing,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: no aerial/top-down/elevated lot view visible. Best candidates are ground-level exterior/front and patio/pergola views; house and backyard/lot are not well shown together.; Crosshair appears on/near road intersection or undeveloped edge; no clear target house with backyard/lot together.,"2577 SANDSTONE Circle, British Columbia, Canada",50.4791471,-116.0414025,house,"2577, Sandstone Circle, Invermere, Regional District of East Kootenay, British Columbia, V0A 1K0, Canada"
10659027,4642 ROWAN Street,Columbia Valley,blocked_arcgis_no_imagery,50.457764,-115.989876,listing,"Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: no aerial or top-down lot view. Only ground-level exterior/patio/yard images; photo 1 best shows house with surrounding yard, photo 2 side/drive area, photos 5-6 patio/yard context.; Crosshair appears on road/open lot area; no clear house at the requested coordinate.","4642 ROWAN Street, British Columbia, Canada",48.4573071,-123.3373921,residential,"Rowan Street, Shelbourne, Saanich, Capital Regional District, British Columbia, V8P 3Z3, Canada"
10606465,#37-6674 WARDNER-KIKOMUN Road,Cranbrook/Kimberley,blocked_arcgis_no_imagery,49.615543,-115.630071,listing,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Crosshair appears along roadside/ditch area near commercial/industrial yard; no clear house + backyard/lot view.,"#37-6674 WARDNER-KIKOMUN Road, British Columbia, Canada",,,,
10574816,1 BIGHORN SHEEP Lane,Columbia Valley,needs_aerial_review,50.154785,-115.808063,listing,Vision batch 002: print_mockup_potential=low; best_candidate_tile=none; Map data not available; no imagery to evaluate.; Crosshair is at a road intersection/open land area; no visible house or backyard/lot at any shown zoom.,"1 BIGHORN SHEEP Lane, British Columbia, Canada",,,,
10629259,15 ALPINE TRAILS Crescent,Fernie/Sparwood,blocked_arcgis_no_imagery,49.523505,-115.069434,listing,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; z20 has no imagery; z19/z18 are heavily tree-covered and do not clearly show house/backyard or lot boundaries.,"15 ALPINE TRAILS Crescent, British Columbia, Canada",,,,
20083862,15 Turner Close,Cranbrook/Kimberley,blocked_arcgis_no_imagery,49.63407721,-115.95756155,listing,"Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Clear overhead of cul-de-sac and surrounding lots, but the marked location appears vacant/roadside and does not show a house with backyard/lot together.","15 Turner Close, British Columbia, Canada",,,,
10684522,1611 1ST S Avenue,Cranbrook/Kimberley,blocked_arcgis_no_imagery,49.49332042,-115.78241832,listing,"Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Imagery shows a vacant or construction-like site near road/open land, but no clear completed house plus backyard/lot together.","1611 1ST S Avenue, British Columbia, Canada",49.4949449,-115.7821066,residential,"1st Avenue South, Cranbrook, Regional District of East Kootenay, British Columbia, V1C 1Z6, Canada"
10626846,18-6674 WARDNER-KIKOMUM Road,Cranbrook/Kimberley,blocked_arcgis_no_imagery,49.428765,-115.571229,listing,"Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Dense forest canopy; no house, driveway, yard, or lot features visible at any zoom.","18-6674 WARDNER-KIKOMUM Road, British Columbia, Canada",,,,
10631447,2527 LEDGEROCK Ridge,Columbia Valley,needs_aerial_review,50.506456,-116.029143,listing,Vision batch 003: print_mockup_potential=low; best_candidate_tile=none; All aerial tiles show 'Map data not yet available'; no property features visible.; Crosshair appears over roadway/commercial intersection area; no clear house plus backyard/lot view.,"2527 LEDGEROCK Ridge, British Columbia, Canada",50.4799956,-116.0401294,residential,"Ledgerock Ridge, Invermere, Regional District of East Kootenay, British Columbia, V0A 1K0, Canada"
10607338,4764 TIMBER RIDGE Road,Columbia Valley,blocked_arcgis_no_imagery,50.608878,-115.687432,listing,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Dense forest cover; no house or usable lot view visible at any zoom.,"4764 TIMBER RIDGE Road, British Columbia, Canada",50.4916291,-115.9969920,residential,"Timber Ridge Road, Area F (Columbia Lake/Windermere Lake), Regional District of East Kootenay, British Columbia, V0B 2L0, Canada"
10629099,4815 HOLLAND CREEK RIDGE Road,Columbia Valley,blocked_arcgis_no_imagery,50.608878,-115.687432,listing,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Dense forest/terrain only; no identifiable house or lot.,"4815 HOLLAND CREEK RIDGE Road, British Columbia, Canada",50.4970657,-116.0027015,residential,"Holland Creek Ridge Road, Area F (Columbia Lake/Windermere Lake), Regional District of East Kootenay, British Columbia, V0A 1K3, Canada"
10587559,4905 LAKEVIEW MEADOWS Close,Columbia Valley,blocked_arcgis_no_imagery,50.608878,-115.687432,listing,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Same forested coordinate view as nearby Holland Creek Ridge; no visible house or usable lot detail.,"4905 LAKEVIEW MEADOWS Close, British Columbia, Canada",50.4991686,-115.9969145,residential,"Lakeview Meadows Close, Area F (Columbia Lake/Windermere Lake), Regional District of East Kootenay, British Columbia, V0A 1K3, Canada"
10680493,4958 MERLO Road,Columbia Valley,blocked_arcgis_no_imagery,50.4947386,-115.99099463,listing,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Heavily treed; target area/house and backyard are mostly obscured across zooms.,"4958 MERLO Road, British Columbia, Canada",50.4947468,-115.9909081,residential,"Merlo Road, Area F (Columbia Lake/Windermere Lake), Regional District of East Kootenay, British Columbia, V0B 2L0, Canada"
10623245,5160 RIVERSIDE Drive,Columbia Valley,blocked_arcgis_no_imagery,50.322129,-115.869072,listing,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; View centers on road/parking/commercial-looking area; no clear house plus backyard/lot shown together.,"5160 RIVERSIDE Drive, British Columbia, Canada",49.3002226,-123.0192684,unclassified,"Riverside Drive, Heidelberg Materials Aggregates Depot, Maplewood, District of North Vancouver, Metro Vancouver Regional District, British Columbia, V7H 1T4, Canada"
10561093,5401 BOOMERANG Way,Fernie/Sparwood,blocked_arcgis_no_imagery,49.466416,-115.081985,listing,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Coordinate appears in dense trees/undeveloped area; no clear house or backyard/lot visible at any zoom.,"5401 BOOMERANG Way, British Columbia, Canada",49.4667938,-115.0841753,residential,"Boomerang Way, Area A (Upper Flathead/Elk Valley), Regional District of East Kootenay, British Columbia, V0B 1M6, Canada"
10588693,885 COPPERVIEW Close,Columbia Valley,blocked_arcgis_no_imagery,50.608878,-115.687432,listing,"Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Dense forest canopy obscures any house, driveway, or lot boundaries at all shown zooms.","885 COPPERVIEW Close, British Columbia, Canada",50.4999627,-115.9962307,residential,"Copperview Close, Area F (Columbia Lake/Windermere Lake), Regional District of East Kootenay, British Columbia, V0A 1K3, Canada"
10613313,964 LAKEVIEW MEADOWS GLEN,Columbia Valley,blocked_arcgis_no_imagery,50.608878,-115.687432,listing,"Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Imagery shows dense forest/terrain only; no identifiable house, backyard, or developed lot visible at any zoom.","964 LAKEVIEW MEADOWS GLEN, British Columbia, Canada",50.4983943,-115.9977840,residential,"Lakeview Meadows Glen, Area F (Columbia Lake/Windermere Lake), Regional District of East Kootenay, British Columbia, V0A 1K3, Canada"
10678423,9905 OSPREY LANDING Drive,Cranbrook/Kimberley,blocked_arcgis_no_imagery,49.40497809,-115.41899663,listing,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Coordinate appears in dense trees near lakeshore; house/backyard not clearly visible together at any zoom.,"9905 OSPREY LANDING Drive, British Columbia, Canada",49.4101268,-115.4269202,unclassified,"Osprey Landing Drive, Wardner, Area C (Moyie/Bull River), Regional District of East Kootenay, British Columbia, Canada"
10604265,4827 HOLLAND Crescent,Columbia Valley,blocked_no_coordinate,36.797727,-119.734824,unresolved,No usable coordinate yet; needs parcel/manual lookup.,"4827 HOLLAND Crescent, British Columbia, Canada",,,,
